Comment,Designator,Footprint,LCSC Part #
,LED1 LED2,CHIP-LED0805,C84256
1k,R1,R0805,C17513
330,R2,R0805,C17630
+12v,U1,TO-252,C283274
0.1uF,C2 C3 C4,C0805,C49678
1uF,C1,C0805,C28323
150,R3 R4,R0805,C17471
ADS1115,U3,VSSOP-10,C37593
P82B715DR,U2,SO-08,C2649394
